"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final"
"PSME",100,"o","65",2,"65_2_o",6.31168301360432,93.6883169863957,53.3946930600514,46.6053069399486,49.7450572697513
"PSME",101,"n","65",2,"65_2_n",11.7038542972807,88.2961457027193,55.7703692250689,44.2296307749311,50.0923686112483
"PSME",101,"o","65",2,"65_2_o",9.57973547540452,90.4202645245955,54.5704153199524,45.4295846800476,50.2427026938084
"PSME",102,"n","45",10200,"45_10200_n",5.7977391273381,94.2022608726619,70.8627590126362,29.1372409873638,30.9305113459539
"PSME",102,"o","45",10200,"45_10200_o",4.67574710306973,95.3242528969303,74.4855811420356,25.5144188579644,26.7659258610209
"PSME",103,"n","45",10200,"45_10200_n",5.59754362900224,94.4024563709978,69.7176061871399,30.2823938128601,32.0779723081056
"PSME",103,"o","45",10200,"45_10200_o",4.83968596231281,95.1603140376872,83.4248605536275,16.5751394463725,17.418121844163
"PSME",104,"n","45",10200,"45_10200_n",8.8313138564689,91.1686861435311,61.5809764268062,38.4190235731938,42.1405914665798
"PSME",104,"o","45",10200,"45_10200_o",5.04281015334405,94.957189846656,66.2626550691573,33.7373449308427,35.5290052131116
"PSME",105,"n","45",500,"45_500_n",6.27745015163409,93.7225498483659,16.4262312321902,83.5737687678098,89.1714629008964
"PSME",105,"o","45",500,"45_500_o",6.93043231109671,93.0695676889033,9.94856219492485,90.0514378050752,96.7571248488909
"PSME",106,"n","45",500,"45_500_n",6.90725066609189,93.0927493339081,10.8185059432799,89.1814940567201,95.798539300672
"PSME",106,"o","45",500,"45_500_o",7.24083358591269,92.7591664140873,10.682386947806,89.317613052194,96.2897970142058
"PSME",107,"n","45",500,"45_500_n",11.719332013014,88.280667986986,27.8720889651758,72.1279110348242,81.7029511437964
"PSME",107,"o","45",500,"45_500_o",9.37504284147102,90.624957158529,9.41783766375343,90.5821623362466,99.9527781048133
"PSME",1000,"n","45",0,"45_0_n",0,100,0,100,100
"PSME",1000,"o","45",0,"45_0_o",0,100,0,100,100
"PSME",1001,"n","50",0,"50_0_n",0,100,0,100,100
"PSME",1001,"o","50",0,"50_0_o",0,100,0,100,100
"PSME",1002,"n","55",0,"55_0_n",0,100,0,100,100
"PSME",1002,"o","55",0,"55_0_o",0,100,0,100,100
"PSME",1003,"n","60",0,"60_0_n",0,100,0,100,100
"PSME",1003,"o","60",0,"60_0_o",0,100,0,100,100
"PSME",1004,"n","65",0,"65_0_n",0,100,0,100,100
"PSME",1004,"o","65",0,"65_0_o",0,100,0,100,100
