"species","season","age","temperature","duration","survival","groupVar"
"PIPO","autumn","o",55,160,93.4682444457767,"PIPO_autumn_o"
"PIPO","autumn","o",55,160,94.9567833679628,"PIPO_autumn_o"
"PIPO","autumn","o",55,160,92.6810028310638,"PIPO_autumn_o"
"PIPO","autumn","o",55,620,-14.0856231777455,"PIPO_autumn_o"
"PIPO","autumn","o",55,620,18.5908184146213,"PIPO_autumn_o"
"PIPO","autumn","o",55,620,-4.50519523687584,"PIPO_autumn_o"
"PIPO","autumn","o",55,0,100,"PIPO_autumn_o"
"PIPO","autumn","n",50,1375,-7.23257205212666,"PIPO_autumn_n"
"PIPO","autumn","n",50,1375,16.1864644442965,"PIPO_autumn_n"
"PIPO","autumn","n",50,1375,32.3040561195392,"PIPO_autumn_n"
"PIPO","autumn","n",50,500,94.2627681580553,"PIPO_autumn_n"
"PIPO","autumn","n",50,500,88.5257336585407,"PIPO_autumn_n"
"PIPO","autumn","n",50,500,95.2712180086501,"PIPO_autumn_n"
"PIPO","autumn","n",50,250,92.1311051073887,"PIPO_autumn_n"
"PIPO","autumn","n",50,250,99.3036817437392,"PIPO_autumn_n"
"PIPO","autumn","n",50,250,96.6897660385187,"PIPO_autumn_n"
"PIPO","autumn","n",50,3125,25.152611482497,"PIPO_autumn_n"
"PIPO","autumn","n",50,3125,7.64143813857448,"PIPO_autumn_n"
"PIPO","autumn","n",50,3125,0.298973508868768,"PIPO_autumn_n"
"PIPO","autumn","n",50,2250,27.6372543143748,"PIPO_autumn_n"
"PIPO","autumn","n",50,2250,1.59387638252953,"PIPO_autumn_n"
"PIPO","autumn","n",50,2250,-29.2311306969044,"PIPO_autumn_n"
"PIPO","autumn","n",50,0,100,"PIPO_autumn_n"
"PIPO","autumn","o",50,1375,31.3002887643926,"PIPO_autumn_o"
"PIPO","autumn","o",50,1375,19.2968215927353,"PIPO_autumn_o"
"PIPO","autumn","o",50,1375,39.9245112690649,"PIPO_autumn_o"
"PIPO","autumn","o",50,500,97.796238251782,"PIPO_autumn_o"
"PIPO","autumn","o",50,500,96.7354640813382,"PIPO_autumn_o"
"PIPO","autumn","o",50,500,99.5956260574283,"PIPO_autumn_o"
"PIPO","autumn","o",50,250,97.8443320159562,"PIPO_autumn_o"
"PIPO","autumn","o",50,250,98.1196634426397,"PIPO_autumn_o"
"PIPO","autumn","o",50,250,98.0747554178189,"PIPO_autumn_o"
"PIPO","autumn","o",50,3125,15.3418819671988,"PIPO_autumn_o"
"PIPO","autumn","o",50,3125,11.5992493169425,"PIPO_autumn_o"
"PIPO","autumn","o",50,3125,-9.27904586581054,"PIPO_autumn_o"
"PIPO","autumn","o",50,2250,2.68893249593641,"PIPO_autumn_o"
"PIPO","autumn","o",50,2250,19.0691008331162,"PIPO_autumn_o"
"PIPO","autumn","o",50,2250,-21.7580333290526,"PIPO_autumn_o"
"PIPO","autumn","o",50,0,100,"PIPO_autumn_o"
"PIPO","autumn","o",45,10200,-9.4991030098548,"PIPO_autumn_o"
"PIPO","autumn","o",45,10200,31.5811512246781,"PIPO_autumn_o"
"PIPO","autumn","o",45,10200,-13.270361222182,"PIPO_autumn_o"
"PIPO","autumn","o",45,6000,-2.76278158263274,"PIPO_autumn_o"
"PIPO","autumn","o",45,6000,15.7633179318955,"PIPO_autumn_o"
"PIPO","autumn","o",45,6000,-1.5776686766762,"PIPO_autumn_o"
"PIPO","autumn","o",45,4750,14.7388905786176,"PIPO_autumn_o"
"PIPO","autumn","o",45,4750,26.7767781261828,"PIPO_autumn_o"
"PIPO","autumn","o",45,4750,53.384386914797,"PIPO_autumn_o"
"PIPO","autumn","o",45,3500,61.2941979517941,"PIPO_autumn_o"
"PIPO","autumn","o",45,3500,74.7299690611049,"PIPO_autumn_o"
"PIPO","autumn","o",45,3500,68.7173423103616,"PIPO_autumn_o"
"PIPO","autumn","o",45,2250,85.4047686680019,"PIPO_autumn_o"
"PIPO","autumn","o",45,2250,94.0980954975507,"PIPO_autumn_o"
"PIPO","autumn","o",45,2250,81.7585499484366,"PIPO_autumn_o"
"PIPO","autumn","o",45,1000,101.227172597654,"PIPO_autumn_o"
"PIPO","autumn","o",45,1000,99.680476829311,"PIPO_autumn_o"
"PIPO","autumn","o",45,1000,98.2294505424606,"PIPO_autumn_o"
"PIPO","autumn","o",45,8200,19.0897341010392,"PIPO_autumn_o"
"PIPO","autumn","o",45,8200,-19.0897341010392,"PIPO_autumn_o"
"PIPO","autumn","o",45,0,100,"PIPO_autumn_o"
"PIPO","autumn","n",45,10200,8.41834077142296,"PIPO_autumn_n"
"PIPO","autumn","n",45,10200,-6.87358435056894,"PIPO_autumn_n"
"PIPO","autumn","n",45,6000,22.7988148591565,"PIPO_autumn_n"
"PIPO","autumn","n",45,6000,-5.23916137952408,"PIPO_autumn_n"
"PIPO","autumn","n",45,6000,-2.43820245429718,"PIPO_autumn_n"
"PIPO","autumn","n",45,10200,11.8047672928723,"PIPO_autumn_n"
"PIPO","autumn","n",45,4750,-12.5875345952313,"PIPO_autumn_n"
"PIPO","autumn","n",45,4750,24.6545495073759,"PIPO_autumn_n"
"PIPO","autumn","n",45,4750,22.0510378379821,"PIPO_autumn_n"
"PIPO","autumn","n",45,3500,27.9900231123118,"PIPO_autumn_n"
"PIPO","autumn","n",45,3500,50.0338905124988,"PIPO_autumn_n"
