"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",78,"o","45",2250,"45_2250_o",10.8476116861417,89.1523883138583,18.0671660080995,81.9328339919005,85.4047686680019,"45_o","autumn"
"PIPO",79,"o","45",2250,"45_2250_o",9.49392404411189,90.5060759558881,12.4576383555156,87.5423616444844,94.0980954975507,"45_o","autumn"
"PIPO",80,"o","45",2250,"45_2250_o",7.88267288133175,92.1173271186683,17.2059181598132,82.7940818401868,81.7585499484366,"45_o","autumn"
"PIPO",81,"o","45",1000,"45_1000_o",10.3960008073371,89.6039991926629,9.78590299724832,90.2140970027517,101.227172597654,"45_o","autumn"
"PIPO",82,"o","45",1000,"45_1000_o",9.22744407840858,90.7725559215914,9.38836901436297,90.611630985637,99.680476829311,"45_o","autumn"
"PIPO",83,"o","45",1000,"45_1000_o",8.60377636127617,91.3962236387238,9.50162419236572,90.4983758076343,98.2294505424606,"45_o","autumn"
"PIPO",104,"o","45",8200,"45_8200_o",7.89882739388938,92.1011726061106,49.24499031037,50.75500968963,19.0897341010392,"45_o","autumn"
"PIPO",105,"o","45",8200,"45_8200_o",8.50560152204222,91.4943984779578,68.9610232980325,31.0389767019675,-19.0897341010392,"45_o","autumn"
"PIPO",1000,"o","45",0,"45_0_o",0,100,0,100,100,"45_o","autumn"
"PIPO",66,"n","45",10200,"45_10200_n",10.2189246211594,89.7810753788406,49.807750731334,50.192249268666,8.41834077142296,"45_n","autumn"
"PIPO",67,"n","45",10200,"45_10200_n",11.37105686782,88.62894313218,56.9941757427022,43.0058242572978,-6.87358435056894,"45_n","autumn"
"PIPO",68,"n","45",6000,"45_6000_n",10.1592777101238,89.8407222898762,43.5379078106616,56.4620921893384,22.7988148591565,"45_n","autumn"
"PIPO",69,"n","45",6000,"45_6000_n",8.99835160022613,91.0016483997739,55.1248843663275,44.8751156336725,-5.23916137952408,"45_n","autumn"
"PIPO",70,"n","45",6000,"45_6000_n",10.0258895519289,89.9741104480711,54.4150700434852,45.5849299565148,-2.43820245429718,"45_n","autumn"
"PIPO",71,"n","45",10200,"45_10200_n",8.43257161248793,91.5674283875121,47.3122418397496,52.6877581602504,11.8047672928723,"45_n","autumn"
"PIPO",72,"n","45",4750,"45_4750_n",8.56245818689623,91.4375418131038,58.1534059439358,41.8465940560642,-12.5875345952313,"45_n","autumn"
"PIPO",73,"n","45",4750,"45_4750_n",8.78714284974594,91.2128571502541,41.8584807368538,58.1415192631462,24.6545495073759,"45_n","autumn"
"PIPO",74,"n","45",4750,"45_4750_n",8.21910353888383,91.7808964611162,42.6498667671797,57.3501332328203,22.0510378379821,"45_n","autumn"
"PIPO",75,"n","45",3500,"45_3500_n",8.30186601272666,91.6981339872733,40.0727241823817,59.9272758176183,27.9900231123118,"45_n","autumn"
"PIPO",76,"n","45",3500,"45_3500_n",8.19077450152994,91.8092254984701,30.2307111794018,69.7692888205982,50.0338905124988,"45_n","autumn"
"PIPO",77,"n","45",3500,"45_3500_n",6.8959066835015,93.1040933164985,28.0414187894513,71.9585812105487,52.7156668803216,"45_n","autumn"
"PIPO",78,"n","45",2250,"45_2250_n",10.8686144962828,89.1313855037172,21.6893411636326,78.3106588363674,74.6155577052779,"45_n","autumn"
